Layer;Ontology;Path;Concept;Stereotype;Generalizations;Definition;Example;Relations
CORE;COM;2.Core:COM:Measure;Measurement Procedure;;UFO:Normative Description   ;Procedure applicable to a Measure and that describe the steps to be carried out to collect data for it.; Measurement procedure to collect data for the measure weight in kilos: Use a weighting digital instrument to measure the person weight in kilos. Record the measured value and the measurement date.;4
CORE;EO;2.Core:EO:Human Resource Management;Employment Type;2ndOT;;;;3
DOMAIN;ROoST;3.Domain:ROoST:Testing Environment;Incident Management Tool;subkind;SPO:Software Product   ;Software product that manages and maintains lists of issues as needed by an organization (adapted from Wikipedia).;;0
CORE;COM;2.Core:COM:Measurement Planning;Simple Goal;;UFO:Goal   ;Goal that is not composed by others.;  Monitor the patient’s blood pressure.;0
CORE;EO;2.Core:EO;Team Member;role;UFO:Person   ;;;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A:UFO-A Qualities;Composed Quality Universal;;UFO:Quality Universal   ;;;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Object Kind;;UFO:Kind   ;;;2
CORE;SPO;2.Core:SPO:Process Assets:Procedures;Method;kind;SPO:Procedure   UFO:Plan Description   ;Systematic Procedure defining a workflow of activities (a set of steps) and heuristics to perform one or more activities.; an OO Method, an Interview Method.;1
DOMAIN;RDPO;3.Domain:RDPO;Requirements Development Process;event;SPO:Performed Specific Process   ;Specific Performed Process for establishing and developing the requirements for a system or software.;;4
DOMAIN;CMPO;3.Domain:CMPO;Communicated CR;phase;CMPO:Change Request (CR)   ;Change Request in the first phase, communicated.;;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-B;Participation Universal;;UFO:Event Universal   ;;;2
DOMAIN;CPO;3.Domain:CPO;Code Development;event;SPO:Performed Simple Activity   ;Simple Performed Activity executed for developing the software Code according to previews definitions.;;2
CORE;EO;2.Core:EO:Human Resource Management;Human Resource;role;UFO:Role   UFO:Person   ;;;3
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A:UFO-A Qualities;Reference Structure;;UFO:Set   ;;;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A:UFO-A Qualities;Simple Quality Universal;;UFO:Quality Universal   ;;;0
CORE;SPO;2.Core:SPO:Process Assets:Resources;Hardware Equipment;kind;UFO:Object   ;Physical Object used for running software programs or to support some related action.; Computer Dell I7, Laser Printer HP, Smartphone Galaxy 7, Router Linksys Wi-fi.;1
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Process;Software Measurement Analysis;event;SPO:Performed Composite Activity   COM:Measurement Analysis   ;Activity for analyzing Measured Values collected for Software-Related Measures aiming to characterize a Software-Related Measurable Entity and provide information related to a Software Measurement Goal. ; a software measurement analysis that analyzed the measured values 0.75, 0.9 e 1, collected for the measure schedule performance index to characterize the software-related measurable entity Project P.    ;15
DOMAIN;RRO;3.Domain:RRO:Runtime Requirements;RRT Program;;SwO:Program   ;An RRT Program is a Program that is built intending to satisfy at least one Runtime Requirement Artifact.;;3
CORE;COM;2.Core:COM:Measurement Analysis;Measurement Analysis;;UFO:Event   ;Action that analyzes Measure Values collected for Measures aiming to characterize a Measurable Entity and provide information related to a Measurement Goal.; a measurement analysis could analyze the measured values 26, 25.5 e 24, collected for the measure body mass index in kilos and meters to characterize the measurable entity John.    ;6
DOMAIN;RRO;3.Domain:RRO:Runtime Requirements;Design Time Requirement Artifact;;RSRO:Requirement Artifact   ;Design Time Requirement Artifact is a Requirement Artifact written in natural language or other format that could not be processed by a program at runtime. It is a Requirement Artifact to be used during design time.;;0
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Process;Measured Value Description;;SPO:Information Item   ;Information Item that records a Measured Value.; the record of the measured value 0.75.;4
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Phase;;UFO:Anti-Rigid Sortal Universal   ;;;0
DOMAIN;QAPO;3.Domain:QAPO;Quality Auditor;role;SPO:Person Stakeholder   ;Stakeholder responsible for conducting objective evaluations.;;2
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Social Role;;UFO:Role   ;;;1
DOMAIN;CPO;3.Domain:CPO;Code Reviewer;role;SPO:Stakeholder   ;Stakeholder responsible for reviewing the Code according to the Requirements Document and Design Document.;;1
DOMAIN;DPO;3.Domain:DPO;Data Design;event;SPO:Performed Simple Activity   ;Activity for producing a detailed Data Model for data storage and management.;;3
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Material Relation;;UFO:Relation   ;;;1
DOMAIN;ROoST;3.Domain:ROoST:Testing Techniques;Model-based Testing Technique;subkind;ROoST:Testing Technique   ;Testing technique in which the test cases are derived from a model that describes the system under test.;;0
CORE;SPO;2.Core:SPO:Standard Software Process Definition:Standard Process Structure;Process Universal;2ndOT;UFO:Complex Action Universal   ;Complex Action Universal representing any generic process in an Organization (formalized or not), which is the powertype of every Performed Process.; a formalized Standard Process (e.g. Development Process), a non-formalized generic process (e.g. Reuse Process).;1
DOMAIN;SPMO;3.Domain:SPMO:Tracked Process;Tracked Process;;SPO:Performed Project Process   ;;;1
CORE;COM;2.Core:COM:Measurement Planning;Measurement Planning Item;;UFO:Social Object   ;Social Object produced during Measurement Planning. A Measurement Planning Item specifies a Measurement Goal to be monitored, an Information Need to be considered, a Measure to be used to meet the Information Need and a Measurement Procedure to be applied to collect data for the Measure. Several Measurement Planning Items can be produced during Measurement Planning.; the measurement planning item specifying the measurement goal Check if the patient has a good body mass index, the information need What is the patient body mass index?, the measure body mass index in kilos and meters to be collected by using the measurement procedure Obtain the values measured to the measures weight in grams and and height in centimeters considering a same measurement date, apply the measurement formula to calculate the body mass index in kilos and meters, record the measured value and the measurement date.;7
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Planning;Software Goal;;UFO:Goal   ;Goal that expresses the intention for which software-related actions are planned and performed. Software Goals are based on Business Goals.; the software goal Improve software products quality could be defined based on the business goal Increase the client’s satisfaction degree. ;2
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Intrisic Moment Universal;;UFO:Moment Universal   ;;;1
CORE;SPO;2.Core:SPO:Standard Software Process Definition:Standard Process Structure;General Standard Process;2ndOT;SPO:Standard Process   ;Standard Process that is composed of Specific Standard Processes, allowing an Organization to establish sub-processes that are part of a complete Standard Process.; the overall Development Process established for the Organization Projects.;2
CORE;SPO;2.Core:SPO:Intended Software Process Definition:Intended Process Structure;Intended Process;mode;RSMO:Measurable Software-Related Entity   UFO:Intention   ;Intention (Internal Commitment) representing the process defined to be performed in a specific project or organizational area, considering its particularities.; Testing, Measurement, Strategic Planning intended processes.;3
DOMAIN;CMPO;3.Domain:CMPO;Change Control;event;SPO:Performed Composite Activity   ;Activity for formally controlling the modification of Configuration Items, in a process of requesting, evaluating, changing and reviewing.;;8
CORE;EO;2.Core:EO:Human Resource Management;Formal Organization Member Type;2ndOT;EO:Human Resource Role   ;;;3
CORE;SPO;2.Core:SPO:Process Assets:Stakeholders;Organization Stakeholder;role;SPO:Stakeholder   EO:Organization   ;Organization interested or affected by the process activities or results.; a Client Organization.;0
DOMAIN;DPO;3.Domain:DPO;Design Evaluation;event;SPO:Performed Composite Activity   ;Activity for evaluating a Design Document, registering the identified issues.;;6
CORE;COM;2.Core:COM:Measure;Interval Scale;;COM:Scale   UFO:Interval MeaRefDimension   ;Scale in which it is possible to quantify the distance between its Scale Values and there is not a value to represent nonentity (absolute zero). In an Interval Scale, although it is possible to quantify the distance between Scale Values, it is not possible to establish other relations between them.; the measure temperature in Celsius degree has an interval scale, since it is possible to quantify the distance between its scale values (e.g., there are 10o between the temperatures 20oC and 30oC), 0oC does not mean the absence of temperature and it is not possible to establish relations between scale values (e.g., we cannot say that 50oC is twice hotter than 25oC).;0
DOMAIN;QAPO;3.Domain:QAPO;Adherence Evaluation;event;SPO:Performed Composite Activity   ;Activity for objectively evaluating the adherence of processes and products to the applicable requirements, registering the identified issues.;;7
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Process;Measurement Plan Item Selection;event;;Activity for selecting the Software Measurement Plan Item to be used to guide the Software Measurement Execution. The selected Software Measurement Plan Item indicates the Software-Related Measured to be applied in the Software Measurement Execution and the Operational Definition of Measure to be considered. ;;1
DOMAIN;RSMO;3.Domain:RSMO:Software Measurable Entities;Measurable Software-Related Entity;;COM:Measurable Entity   ;Measurable Entity related to software.; a software project,  a standard process.;2
CORE;COM;2.Core:COM:Measure;Measurement Formula;;UFO:Expression   ;Formula that quantifies relations between Measures from which a Derived Measure is obtained.; the measure body mass index in kilos and meters (BMI) can be calculated from the measures weight in kilos (w) and height in meters (h) by applying the measurement formula BMI = w/(h*h).;3
DOMAIN;SwO;3.Domain:SwO;Software System;subkind;SPO:Software Item   ;Software Item that aims at satisfying a specification (System Specification), concerning a desired change in a data structure inside a computer, abstracting away from the behavior.;;3
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Mental Moment;;UFO:Intentional Moment   ;;;0
DOMAIN;CMPO;3.Domain:CMPO;Change Implementer;role;SPO:Stakeholder   ;Stakeholder responsible for implementing a change in Configuration Items.;;1
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Process;Analysis Result Description;;SPO:Information Item   ;Information Item that records the Analysis Result produced in a Software Measurement Analysis.  ; the record of the analysis result: the schedule performance index of the Project P has improved in the last three months and the project is now adherent to the agreed schedule.    ;4
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Commitment Universal;;;;;1
CORE;SPO;2.Core:SPO:Software Process Execution:Performed Process;Performed General Process;event;SPO:Performed Process   ;The overall Performed Process executed in a specific Project or Organization, which is necessarily composed of Specific Performed Processes.; the overall process performed in a software project.;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A:UFO-A Qualities;Interval MeaRefDimension;;UFO:Measurement Reference Dimension   ;;;0
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Process;Information Needs Identification;event;SPO:Performed Simple Activity   ;Activity for identifying and recording the Information Needs to be included in the Software Measurement Plan. Information Needs are identified from the established Software Measurement Goals.;;2
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Planning;Measurement Analysis Procedure;;UFO:Normative Description   ;Procedure applied to analyze Measured Values obtained for a Software-Related Measure. ;;3
CORE;COM;2.Core:COM:Measurement Planning;Complex Goal;;UFO:Goal   ;Goal that is composed by others.; the complex goal Monitor the patient health could be decomposed in Check if the patient has a good body mass index and Check if the patient has a good blood pressure.;1
CORE;SPO;2.Core:SPO:Software Process Execution:Artifact Participation;Artifact Creation;event;SPO:Artifact Participation   UFO:Creation   ;Artifact Participation in which a new Artifact is created.; the creation of the source Code as part of a Coding activity.;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Object;;UFO:Substantial   ;;;2
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Physical Object;;UFO:Object   ;;;0
CORE;COM;2.Core:COM:Measurable Entities;Measurable Entity;;UFO:1stOT (Universal)   ;Anything that can be measured.; a person, a project, an organization.;5
DOMAIN;DPO;3.Domain:DPO;Component Design;event;SPO:Performed Simple Activity   ;Activity for refining each Architectural Component of a software.;;2
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Concrete Particular;;UFO:Individual   ;;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Endurant Universal;;UFO:1stOT (Universal)   ;;;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-B;Time Interval;;;;;6
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;High Order Universal;;;;;0
DOMAIN;CMPO;3.Domain:CMPO;Change Accomplishment;event;SPO:Performed Composite Activity   ;Activity for performing the authorized changes in a set of Configuration Items under version control.;;9
DOMAIN;CMPO;3.Domain:CMPO;Change Requester;role;SPO:Stakeholder   ;Stakeholder responsible for requesting a change in Configuration Items.;;1
DOMAIN;QAPO;3.Domain:QAPO;Evaluated Process;role;SPO:Performed Process   ;Process objectively evaluated.;;1
CORE;EO;2.Core:EO;Team;kind;UFO:Social Agent   ;Social Agent representing a group of people with a defined purpose.; a Testing team, a Quality Assurance team, a Deployment team.;2
CORE;SPO;2.Core:SPO:Software Process Execution:Performed Process;Performed Process;event;RSMO:Measurable Software-Related Entity   UFO:Complex Action   ;Complex Action, composed of other processes or activities, performed in a specific Time Interval, for reaching a goal in a Project or Organization.; Development, Configuration Management, Training performed processes.;2
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Intrinsic Moment;;UFO:Moment   ;;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A:UFO-A Qualities;Expression;;;;;1
CORE;SPO;2.Core:SPO:Intended Software Process Definition:Scheduled Process;Scheduled Process;mode;UFO:Appointment   SPO:Intended Process   ;An Intended Process defining the Time Interval it is planned to be performed.; The Requirements Development Process defined for the Alpha Project and scheduled for July 1st to August 15th.;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Action;;UFO:Event   ;;;3
DOMAIN;ROoST;3.Domain:ROoST:Testing Process;Unit Testing;event;ROoST:Level-based Testing   ;Level-based Testing focusing on the unit or the individual components that have been developed, ensuring that the unit functions correctly in isolation.;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Mode;;UFO:Intrinsic Moment   ;;;0
DOMAIN;QAPO;3.Domain:QAPO;Evaluated Artifact;role;SPO:Artifact   ;Artifact objectively evaluated.;;1
DOMAIN;RRO;3.Domain:RRO:Runtime Requirements;Change Runtime Requirement Artifact;;RRO:Runtime Requirement Artifact   ;Change Runtime Requirement Artifact specifies changes on the system's behavior, in order for the software system to keep fulfilling the goals it has been designed for.;;2
DOMAIN;QAPO;3.Domain:QAPO;Noncompliance Closing;event;SPO:Performed Simple Activity   ;Activity for finishing a noncompliance once it is satisfactorily solved.;;1
DOMAIN;DPO;3.Domain:DPO;Architectural Connector;subkind;DPO:Architectural Element   ;Architectural Element connecting two or more Components in an Architecture.;;1
CORE;SPO;2.Core:SPO:Process Assets:Resources;Software Resource;role;SPO:Software Product   SPO:Resource   ;Software Product when used as Resource of some process activity.; the Eclipse IDE being used by the Coding activity.;1
DOMAIN;CPO;3.Domain:CPO;Coding Process;event;SPO:Performed Specific Process   ;Specific Performed Process for conducting the activities related to software Code production.;;2
CORE;COM;2.Core:COM:Measurement;Measurement;;UFO:Event   ;Action that measures a Measurable Element of a Measurable Entity by applying a Measure and adopting a Measurement Procedure to obtain a Measured Value. A Measurement is performed based on a Measurement Planning Item.; the measurement of the measurable element weight of the measurable entity John by applying the measure weight in kilos, adopting a certain measurement procedure and resulting in the measured value 75. ;6
CORE;COM;2.Core:COM:Measurable Entities;Measurable Entity Type;;UFO:2ndOT   ;Type of entities that can be measured.; John is a measurable entity of the type Person.;4
CORE;SPO;2.Core:SPO:Intended Software Process Definition:Intended Process Structure;Specific Intended Process;mode;SPO:Intended Process   ;Intended Process that is part of the General Intended Process of a Project or Organization, necessarily composed of at least two Intended Activities.; the Construction Process defined for a specific project, the Training Process defined for an organizational OO training.;3
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Function Universal;;;;;1
CORE;SPO;2.Core:SPO:Software Process Execution:Performed Process;Performed Specific Process;event;SPO:Performed Process   ;Performed Process that is part of the General Performed Process of a Project or Organization, necessarily composed of at least two Performed Activities.; the Project Management Process performed in a specific project, the Portfolio Management Process performed in an organization.;2
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Abstract Thing;;;;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Rigid Sortal Universal;;UFO:Sortal Universal   ;;;0
DOMAIN;QAPO;3.Domain:QAPO;Quality Assurance Plan;subkind;SPO:Document   ;Document registering the planed quality assurance activities, processes and artifacts to be evaluated and involved personnel.;;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Delegatum;;UFO:Social Relator   ;;;1
CORE;EO;2.Core:EO:Human Resource Management;Allocation Unit;role;EO:Organizational Unit   ;;;2
DOMAIN;RSRO;3.Domain:RSRO;Stakeholder Intention;;UFO:Intention   ;The intention of Requirements Stakeholders that defines requirements to be achieved.;;2
DOMAIN;DPO;3.Domain:DPO;Architectural Component;subkind;DPO:Architectural Element   ;Architectural Element describing a software module as part of an Architecture.;;3
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Planning;Software Measurement Planning Item;subkind;SPO:Information Item   COM:Measurement Planning Item   ;Measurement Planning Item related to software. It is an Information Item produced during Software Measurement Planning and it is composed of a Software Measurement Goal Description, an Information Need Description, a Measure Description and an Operational Definition of Measure.; the software measurement planning item composed of the software measurement goal description Decrease defects in delivered products, the information need description What is the delivered defects density?, the measure description delivered defects density and an operational definition of measure established to the software-related measure delivered defects density.;10
CORE;SPO;2.Core:SPO:Process Assets:Stakeholders;Team Stakeholder;role;SPO:Stakeholder   EO:Team   ;Team interested or affected by the process activities or results.; a Testing Team.;0
CORE;SPO;2.Core:SPO:Intended Software Process Definition:Intended Process Structure;Intended Activity;mode;RSMO:Measurable Software-Related Entity   UFO:Intention   ;Intention (Internal Commitment) representing the activity defined to be performed as part of an Intended Process, by a defined role, potentially consuming and producing artifacts, using resources and adopting procedures.; Unit Testing, Measure Collection, Strategic Goals Definition.;13
DOMAIN;RRO;3.Domain:RRO:Runtime Requirements;Runtime Requirement Artifact;;RSRO:Requirement Artifact   ;Runtime Requirement Artifact is a Requirement Artifact written in a computational file that could be processed by a program at runtime (RRT Program Copy Execution).;;2
CORE;SPO;2.Core:SPO:Software Process Execution:Performed Process;Performed Simple Activity;event;SPO:Performed Activity   ;Performed Activity that is not further decomposed into other Performed Activities.;;1
DOMAIN;ROoST;3.Domain:ROoST:Testing Process;System Testing;event;ROoST:Level-based Testing   ;Level-based Testing focusing on the behavior of the entire system, ensuring that it is in conformance with its requirements.;;0
CORE;COM;2.Core:COM:Measure;Ordinal Scale;;COM:Scale   UFO:Ordinal MeaRefDimension   ;Scale whose Scale Values can be mapped to a certain order or ranking.; the measure client satisfaction degree, which can be mapped to the values “high”, “medium” or “low”, has an Ordinal Scale.;0
CORE;SPO;2.Core:SPO:Process Assets:Procedures;Technique;kind;SPO:Procedure   ;Procedure that provides heuristics to perform an activity (but in a less rigid and detailed way than a method, since it does not prescribe a set of activities).; White-box testing, Pair programming.;0
DOMAIN;ROoST;3.Domain:ROoST:Testing Techniques;Testing Technique Type;2ndOT;;Major types of testing techniques such as black-box, white-box, model-based and mutation testing techniques.;;2
CORE;EO;2.Core:EO:Human Resource Management;OU Assignment;relator;;;;4
CORE;COM;2.Core:COM:Measure;Measure;;UFO:Function   ;Function used to associate a value (Measured Value) to a Measurable Element of a Measurable Entity. Measures quantify Measurable Elements and characterize Measurable Entity Types.; the measure height in meters can be used to quantify the measurable element height of measurable entities of the type Person.;13
DOMAIN;DPO;3.Domain:DPO;Data High-level Design;event;SPO:Performed Simple Activity   ;Activity for establish the high-level choices regarding the software data.; data management mechanisms, data distribution.;2
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Rigid Mixin Universal;;UFO:Mixin Universal   ;;;0
DOMAIN;SPMO;3.Domain:SPMO:WBS;Practical Result;;SPMO:Deliverable   ;;;1
CORE;SPO;2.Core:SPO;Software Organization;;;;;1
CORE;COM;2.Core:COM:Measurement Planning;Information Need;;UFO:Goal   ;Information Needs are identified from Measurement Goals and determine which information have to be met by Measures in order to monitor the achievement of the related Measurement Goal.; the information need What is the patient body mass index? could be identified from the measurement goal Check if the patient has a good body mass index.;6
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Mixin Universal;;UFO:Substantial Universal   ;;;0
DOMAIN;CMPO;3.Domain:CMPO;Checkout;event;SPO:Performed Simple Activity   ;Activity for accessing defined versions of Configuration Items from a version control repository, usually for changing purposes.;;3
FOUNDATIONAL;UFO;1.Foundational:UFO:MLT;Individual;;UFO:Entity   ;;;1
DOMAIN;ROoST;3.Domain:ROoST:Testing Process;Test Result Analysis;event;SPO:Performed Simple Activity   ;Simple Performed Activity for analyzing Test Results to determine whether or not tests have been successful in identifying defects.;;5
DOMAIN;RSRO;3.Domain:RSRO;Product Quality Requirement;mode;RSRO:Non-Functional Requirement   ;Non-Functional Requirement referring to a Quality Characteristic of the software product.; Being accessible from some specific browsers, Performing a function in an established time.;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A:UFO-A Qualities;Quality Structure;;UFO:Set   ;;;2
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Process;Measurement Planning Start;event;SPO:Performed Simple Activity   ;Activity for defining the Software Measurement Plan structure, its initial information (e.g., organization to which it was defined and elaboration date) and starting its elaboration. ;;2
DOMAIN;GORO;3.Domain:GORO;Task;;UFO:Action Universal (Plan)   ;A Task is a plan to achieve a goal.;;2
DOMAIN;DPO;3.Domain:DPO;Data Model;subkind;SPO:Model   ;Model containing the physical and logical decisions on how to manage and storage the software data.; a database schema.;2
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Planning;Software Project Measurement Plan;;RSMO:Software Measurement Plan   ;A Software Measurement Plan defined for a Project.; the Software Project Measurement Plan defined for the Project P.;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Desire;;UFO:Mental Moment   ;;;0
DOMAIN;CMPO;3.Domain:CMPO;CR Being Solved;phase;CMPO:Change Request (CR)   ;Change Request being solved after authorization.;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Sortal Universal;;UFO:Substantial Universal   ;;;0
DOMAIN;ROoST;3.Domain:ROoST:Testing Techniques;Black-box Testing Technique;subkind;ROoST:Testing Technique   ;Testing technique that ignores the internal mechanism of a system or component and focuses solely on the outputs generated in response to selected inputs and execution conditions (adapted from ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary);;0
CORE;EO;2.Core:EO;Project;kind;UFO:Social Object   ;A Social Object as a temporary endeavor undertaken to create a unique product, service, or result.; A project to produce a software on demand.;1
CORE;SPO;2.Core:SPO:Software Process Execution:Artifact Participation;Artifact Usage;event;SPO:Artifact Participation   UFO:Usage   ;Artifact Participation in which an existing Artifact is used, but not modified.; the usage of a Design Specification in a Coding activity.;0
DOMAIN;CMPO;3.Domain:CMPO;Solved CR;phase;CMPO:Change Request (CR)   ;Change Request solved through the Change Implementation.;;1
CORE;SPO;2.Core:SPO:Standard Software Process Definition:Standard Process Structure;Simple Standard Activity;2ndOT;SPO:Standard Activity   ;Standard Activity that is not further decomposed into other Standard Activities.;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Intentional Moment;;UFO:Intrinsic Moment   ;;;2
DOMAIN;ROoST;3.Domain:ROoST:Testing Artifacts;Test Result;subkind;SPO:Document   ;Document containing the actual results and identified issues relative to a Test Case execution.;;6
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Planning;Software Measurement Goal Description;subkind;SPO:Information Item   ;Information Item that documents the description of a Software Measurement Goal.; the record of the software measurement goal Decrease defects in delivered products. ;3
DOMAIN;RRO;3.Domain:RRO:Program Execution;Program Copy Execution;;UFO:Event   ;Program Copy Execution is an Event representing the execution of the Loaded Program Copy running in a Machine. In other words, the Program Copy Execution is the event of the physical manifestation of the dispositions (represented as the complex disposition Loaded Program Copy) that inhere in the Machine.;;3
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Social Relator;;UFO:Relator   ;;;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Complex Action;;UFO:Complex Event   UFO:Action   ;;;2
CORE;SPO;2.Core:SPO:Process Assets:Artifacts;CASE Tool;subkind;SPO:Software Product   ;;;0
DOMAIN;SPMO;3.Domain:SPMO:WBS;Deliverable;mode;;;;2
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A:UFO-A Qualities;Measurable Quality Universal;;UFO:Quality Universal   ;;;0
CORE;COM;2.Core:COM:Measurement;Measured Value;;COM:Scale Value   ;Value obtained in a Measurement.; the measured value 75 obtained in the measurement of the measurable element weight of the measurable entity John by applying the measure weight in kilos.;3
DOMAIN;DPO;3.Domain:DPO;Interface Specification;subkind;SPO:Information Item   ;Information Item describing an internal or external interface of a software architecture.;;3
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Higher-Order Object Kind;;;;;1
DOMAIN;RSRO;3.Domain:RSRO;Requirement Artifact;subkind;SPO:Information Item   SPO:Simple Artifact   ;Information Item describing a Requirement.; "The system shall provide a product register.", "The system shall control the client orders.", "The system shall be operable from Google Chrome version 32+.";9
DOMAIN;RRO;3.Domain:RRO:Runtime Requirements;RRT Program Copy Execution;;RRO:Program Copy Execution   ;An RRT Program Copy Execution is the execution of a Loaded RRT Program Copy. It uses Runtime Requirement Artifacts as resources.;;2
CORE;SPO;2.Core:SPO:Software Process Execution:Artifact Participation;Artifact Change;event;UFO:Change   SPO:Artifact Participation   ;Artifact Participation in which an existing Artifact is modified.; the change of the source Code as part of a Coding activity fixing a bug in it.;0
CORE;SPO;2.Core:SPO:Standard Software Process Definition:Standard Process Structure;Hybrid Standard Process;2ndOT;SPO:Standard Process   ;Standard Process established to be performed in the context of a Project or Organization.; a Training Process, a Quality Auditing Process.;0
DOMAIN;SPMO;3.Domain:SPMO:Tracked Process;Tracked Activity;;SPO:Performed Project Activity   ;;;2
CORE;SPO;2.Core:SPO:Process Assets:Procedures;Method Activity;2ndOT;UFO:Action Universal (Plan)   ;Action type representing one of the steps of a Method Workflow.; the Classes Identification activity of an OO Method.;2
DOMAIN;QAPO;3.Domain:QAPO;Quality Assurance Process;event;SPO:Performed Specific Process   ;Process for conducting the activities related to software quality assurance, assessing and assuring adherence of the performed processes and produced artifacts to the applicable requirements.;;3
DOMAIN;SPMO;3.Domain:SPMO:Estimated Process;Cost Estimated Activity;;SPO:Project Activity   ;A Project Activity with cost estimated.;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A:UFO-A Qualities;Measurement Reference Dimension;;UFO:Measurement Reference Structure   ;;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-B;Atomic Event;;UFO:Event   ;;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Closed Commitment Universal;;UFO:Commitment Universal   ;;;3
DOMAIN;RRO;3.Domain:RRO:Runtime Requirements;Loaded Compliance Program Copy;;RRO:Loaded RRT Program Copy   ;Loaded Compliance Program Copy is the materialization of a Compliance Program.;;2
CORE;SPO;2.Core:SPO:Process Assets:Artifacts;Model;kind;SPO:Artifact   ;A representation (abstraction) of a process or system from a particular perspective.; a use case model, a class model, a component model.;0
CORE;EO;2.Core:EO;Organizational Team;subkind;EO:Team   ;;;1
CORE;COM;2.Core:COM:Measurable Entities;Directly Measurable Element;;UFO:Simple Quality Universal   COM:Measurable Element   ;Measurable Element that does not depend on others to be measured.; weight and height.;1
DOMAIN;CMPO;3.Domain:CMPO;Change Reviewer;role;SPO:Stakeholder   ;Stakeholder responsible for reviewing the changes in Configuration Items regarding a Change Request.;;1
DOMAIN;CPO;3.Domain:CPO;Code Review;event;SPO:Performed Simple Activity   ;Simple Performed Activity executed for reviewing the software Code to identify errors and non-conformances.;;6
CORE;SPO;2.Core:SPO:Standard Software Process Definition:Standard Process Structure;Composite Standard Activity;2ndOT;SPO:Standard Activity   ;Standard Activity composed of other Standard Activities.;;1
CORE;SPO;2.Core:SPO:Process Assets:Stakeholders;Stakeholder;rolemixin;UFO:Agent   ;Agent (Person, Team or Organization) interested or affected by the process activities or results.; an Analyst, a Programmer, a User, a Testing Team, a Client Organization.;6
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Formal Relation;;UFO:Relation   ;;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Fulfilled;;;;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Action Universal (Plan);;UFO:Event Universal   ;;;4
